"","vtitle","vpoint","vreview"
"213","미나리","10","막상 영화볼땐 눈물이 안나다가 곱씹으면서 ㅜㅜㅜ 주륵 ㅜ 단순한 소년만화가 아니다 여러가지 교훈을 잘 담고 있는 애니메이션. 유포터블 감사합니다!"
"214","극장판 귀멸의 칼날: 무한열차편","4","뭔데 이게.... 미나리를 한 번도 검색하지 않았음에도 불구하고 각종 매체에서 호평인게 눈에 띄거나 귀에 들어오기에 개봉하자마자 봤더니 기대가 너무 큰 탓인가? 아니 그건 아닌 것 같고... 재미 없었다. 무슨 사건 하나가 터지길 바랬는데 러닝타임 두시간 째가 다 되어가는데도 아무 일이 일어나지 않더라. 자극에 너무 물들어 버렸다고 하기에는 영화가 너무나도 잔잔함. 윤여정님의 연기는 좋았음. 근데 왜 그렇게 된 지 설명을 안해줌..."
"215","PMC: 더 벙커","10","이런 영화가 많이 나왔으면.... 신파가 없으니 여운이 더 오래 가네요"
"216","미나리","6","텔미 뭐야 진짜ㅋㅋㅋㅋ준호때문에 봤다"
"217","극장판 귀멸의 칼날: 무한열차편","10","작품성으론 사실상 또 하나의 만점 영화, 무슨 설명이 더 필요한가? 한 마디로 명불허전 나홍진의 또 하나의 곡성과 추격자, 그나저나 아내가 임신했는대도 불구하고 마음 속으로 피눈물을 흘리며 강간씬을 찍은 철민이 형님 제발 이젠 좀 뜨고 편하게 살았으면 좋겠습니다..."
"218","세자매","8","아 나 너무 기대하고 가서 좀 아쉬웠음 울 준비 다했는데 한방울 흘리고 나옴"
"219","그랜드파더","8","그럼에도 가족, 그렇기에 가족."
"220","미나리","9","괴로워도 슬퍼도 꿋꿋이 강하게 살아갈, 이 세상 모든 미나리들을 응원하며."
"221","미나리","10","최고의 애니다 흑....감동적이고 슬포"
"222","미나리","10","좋다.. 좋아.. 4dx로 보세요.."
"223","미나리","8","희망이 사라져도 희망은 있다"
"224","극장판 귀멸의 칼날: 무한열차편","10","최고의 실화영화입니다 꼭 보세요  이런 영화 다시는 없을듯"
"225","PMC: 더 벙커","10","생각도 못한 재미 !!ㅋㅋ 시간가는 줄 모르고 웃다 울다 재밌습니다!!"
"226","미나리","10","암울했지만 정말 잘봤습니다 윤여정님 최고"
"227","극장판 귀멸의 칼날: 무한열차편","9","성장영화입니다. 깊은곳에서 오는 감정이 있었어요.미나리 많이 넣은신선한 회무침이 생각나요저 뭔소리하는거죠ㅋㅋㄱ영상미, 음악 다 좋아요"
"228","세자매","8","영화가 아니라 누군가의 삶을 살짝 엿본 것 같다. 특히나 영화 마지막 부분의 사진들... 우리 고모네에 걸려있는 빛바랜 사진액자와 똑 닮아서 놀랐다. 향이 진한 미나리를 좋아하지 않지만, 언젠가 타국에서 살게 된다면 미나리를 그리워하게 되려나 라는 생각을 한번 하게 해준 영화."
"229","그랜드파더","10","최고의 수혜자는 브레드 핏 ! 감독은 소설같은 전개를 영상으로 잘 펼쳤고 문학적 베이스가 매우 탄탄하다고 누껴졌움"
"230","미나리","6","그냥 뻔한 결말에 뻔한 내용, 하지만 미래에서 과거를 해설하는 것과 중간중간 흘러나오는 음악들, 옜날 미국의 분위기가 너무 좋았던 영화였다"
"231","미나리","6","책읽었지만 초반부에는 흥미진진해서 읽었지만 끝까지 반전은없었고  그냥 너무나 평범한 현대여성의 결혼후의 모습 다 그리살지않나 그렇지만 왜 헛소리를한거지?치매는 아닌거잖아요 ㅋ작가의 고발프로 피디출신다웠음!!"
"232","미나리","6","스토리 많이 부족하고 부실하지만톰과 제리 를 영화관에서 본것만으로도 만족합니다."
"233","미나리","10","소재도 신선하고 간만에 극장에서 재밌게 봄"
"234","극장판 귀멸의 칼날: 무한열차편","10","간만에 힐링하고 너무 좋았어요!"
"235","PMC: 더 벙커","2","기대에  다소  미치지 못함이 있었던듯 하다어   ~   이케 끝났어  하는 느낌 뭐지"
"236","미나리","10","이건 진짜 긴장감 레전드"
"237","극장판 귀멸의 칼날: 무한열차편","10","기대이상으로 재밌네요~~"
"238","세자매","10","그냥 본 애니 중에 최고였음. 갓포터블"
"239","그랜드파더","10","비굴해도 살아갈 것인지. 까오 빠지면 죽을 것인지. 백성을 위해 비굴해질 것인지. 까오를 위해 전쟁을 할 것인지..."
"240","미나리","10",""
"241","미나리","10","렌고쿠 미쳤다"
"242","미나리","10","세자매 모두 행복했으면좋겠어요 ㅜㅜ 진섭이도"
"243","미나리","7","미나리 처럼 무럭무럭 자라난 가족의 사랑"
"244","극장판 귀멸의 칼날: 무한열차편","9","상상조차 하지마라! 당신의 눈은 현실세계가 아닌 오직 디지털프로그램에 갇혀살고있다! 20세기 마지막 디지털아날로그 하이테그 sf액션의 진화 매트릭스"
"245","PMC: 더 벙커","1","귀멸의 칼날 시간 날렸네 최악이다"
"246","미나리","10","생존 200명 사망 1명...."
"247","극장판 귀멸의 칼날: 무한열차편","10","영화 후반부 데이빗이 뛰어가던 장면, ‘할머니 가지마! 우리랑 같이 살자!’ 영원히 잊혀지지 않을 것 같다."
"248","세자매","1","다들 좋은 평을 내고 있는 마당에...감독과 제작진 거의 모두 한국인이 아닌데 너무 많은 매스컴에서 마치 자랑스런 한국인이 만든 한국영화인냥 은근슬쩍 작품국적을 둔갑시키고 있다는 생각을 했다. 전형적인 동양여성의 외형을 가진 한예리와 윤여정의 캐스팅은 완벽했다. 그러나 스티븐연의 어눌한 한국말에 보는내내 어색했다. 그리고 느닷없는 윤여정의 중풍은 고다르의 쩜프컷이 생각났다. 제발 JTBC는 이 작품을 봉준호의 기생충 영광인냥 재현하지 말아주었으면... 기생충과 미나리는 다르다."
"249","그랜드파더","10","옛날 그 감동 그대로*^^*"
"250","미나리","10","역시 스필버그임 영화관에서 못본게 아쉬운 영화"
"251","미나리","1","평론가분들께 바칩니다"
"252","미나리","10","잔잔한 여운이 오래 가는 영화그리고 윤여정"
"253","미나리","6","가족이 웬수다 이거하나 느낌 왜 이렇게 호평받고 상을 많이탔는지 난 도통 모르겠다"
"254","극장판 귀멸의 칼날: 무한열차편","8","가족애를 느끼게하는 훈훈한 영화잘봤습니다"
"255","PMC: 더 벙커","10","애니로 표현된 장면들과 액션씬은 입이 다물어지지 않을정도였다 애니는 그저 잔잔하고플때 편하게 보는 장르였는데 온 신경을 집중시키는 작품이였다 그야말로 요즘말로 가슴이 웅장해졌다 최고의 작품이였다"
"256","미나리","6","앞부분에 토끼굴은 왜 보여줬는지 모르겠음 성인이 보고 즐길만한 내용은 아닌듯"
"257","극장판 귀멸의 칼날: 무한열차편","9","한예리가 미국인들이 좋아하는 동양인 스타일"
"258","세자매","10","밀리 바비 브라운이 원숭이띠라는 놀라운 사시ㄹ..."
"259","그랜드파더","10","내가 가장 재밌게 본 미국 군대영화 ""아메리칸 스나이퍼"", ""허트 로커"" "" 핵소고지"" 이 셋은 진짜 제대로다.."
"260","미나리","9","그늘이 지고, 물이 고여 늘 축축한 환경에도 불구하고 삶을 유지하고 버텨내는 미나리가 가진 생명력. 그게 바로 '가족'이라는 은유겠지요."
"261","미나리","6","지루함의 미학, 어떤 주제의식을 전달하는지 이해 못했다."
"262","미나리","8","나쁘지 않았다.방금 보고옴."
"263","미나리","8","보고나니 아름다기도 하고 먹먹하네요."
"264","극장판 귀멸의 칼날: 무한열차편","10","바쁘지도 흥분하지도 않으나 게으르지 않게 봐야하는 영화입니다."
"265","PMC: 더 벙커","10",""
"266","미나리","10","윤여정이라는 배우가 여우조연상으로 전세계를 휩쓸었다는 것에 확신하게 되었다"
"267","극장판 귀멸의 칼날: 무한열차편","10",""
"268","세자매","6","'카우보이는 끝났어, 내 말 알아들어?' 누가 서부영화는 종언을 고했다고 했냐, 이것드라. 인트로 자료화면에 최초의 서부극 <대열차 강도(1903>를 넣음으로써 진한 웨스턴무비일 것임을 표방하며 시작한다. 벌린 판에 비해 결론은 게눈 감추듯 성급하다. 처음 연출하던 감독이 잘린 후 대부분은 주인공 커트 러셀이 대부분 연출했으며 조지 코스마토스는 현장과 포스트 프로덕션을 문제 없이 진행하는 선에서만 감독했다고. 실제 인물인 와이어트 어프는 일생동안 한 번도 총상을 입지 않았다(영화에서와 달리 조니 링고는 나무 밑에서 자살했지만). 감기약처럼 아무렇지도 않게 주고 받는 아편은 당시 미국에서 마약이 아이 기침약부터 수면제, 진통제까지 만병통치제로 쓰이던 실제 사실을 잘 반영했다."
"269","그랜드파더","6","미나리가 미국에서 주목 받는 이유는 코로나로 인한 아시아인 혐오와 맞물려 인종 간의 차별이 없던 시절에 대한 향수와 지지에 주목하는 타이밍이 절묘했기 때문이지 영화적 완성도가 뛰어나서는 아니다."
"270","미나리","10","올해 최고의 애니메이션"
"271","미나리","10","마지막에 수맥을 찾은 제이콥이 내려놓은 돌, 내 가슴에 얹은 것 같다"
"272","미나리","10","많이 울었습니다. 그 시절, 낯선 땅에서 묵묵히 자리를 지켜왔던 모든 미나리들에게 바치는 헌사."
"273","미나리","10","많이 울었습니다. 그 시절, 낯선 땅에서 묵묵히 자리를 지켜왔던 모든 미나리들에게 바치는 헌사."
"274","극장판 귀멸의 칼날: 무한열차편","10","이런 게 정말 영화가 아닐까?"
"275","PMC: 더 벙커","10","친정엄마가 한국에서 짊어지고 온 고추가루와 멸치를 보았을 때 엉엉 울어버렸다.  나 또한 같은 경험이 있으므로...."
"276","미나리","10","마음따뜻한 영화 만들어주셔서 감사해요"
"277","극장판 귀멸의 칼날: 무한열차편","10","잘 보았어요 감동이예요 ㅜ"
"278","세자매","6","감동적이지만, 영화를 보기 전에 기대를 너무 크게했었나 봅니다. 영화가 끝나도 뭔가 더 나와주면 좋았겠다는 니낌?"
"279","그랜드파더","10","무슨 저런 가족들이 있어 하며 보다가 불현듯 우리 가정을 되돌아보게 되는, 그래 이 세상에 완벽한 가정은 없을거야. 다 저마다의 모습으로 살아가는거지... 그래도 가족이라는 질긴 끈으로 어떻게든 앞으로 나아가는거지 뭐."
"280","미나리","10","'브로큰 딩동, 딩동 브로큰'  대사가 계속 생각난다."
"281","미나리","10","어디서나 잘 자라는 미나리처럼"
"282","미나리","10",""
"283","미나리","10","마음이 따뜻해지는 너무나 멋진 영화!마지막 크레딧 올라갈때 노래와 숲소리까지 좋았습니다."
"284","극장판 귀멸의 칼날: 무한열차편","10","<기생충>이 물로써 냉담하게 우리 사회를 보여줬다면, <미나리>는 불로써 뜨겁게 우리 가족을 돌아보게 해줬다."
"285","PMC: 더 벙커","10","가슴이 웅장해진다.."
"286","미나리","9","소울 덕에 집에가는 길 마저도 나의 불꽃을 찾았어요~^^"
"287","극장판 귀멸의 칼날: 무한열차편","10","어떤 역사영화보다 감동적"
"288","세자매","10","키부츠지 무잔은 등장 안하나요? 왜"
"289","그랜드파더","10","키부츠지 무잔은 등장 안하나요? 왜"
"290","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"291","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"292","미나리","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"293","미나리","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"294","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠...허헝..ㅠㅠ.."
"295","PMC: 더 벙커","10","꼭보세요 영화 감동적이에요연기 전개 부터 완벽합니다저만 볼수는 없잖아요꼭보세요!!!! 감동 재미 그리고 너무 재미있어서 말이안나옵니다 보세요!!!꼭 !!!나만 돈 버릴수는 없잖아요"
"296","미나리","10","꼭보세요 영화 감동적이에요연기 전개 부터 완벽합니다저만 볼수는 없잖아요꼭보세요!!!! 감동 재미 그리고 너무 재미있어서 말이안나옵니다 보세요!!!꼭 !!!나만 돈 버릴수는 없잖아요"
"297","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠...허헝..ㅠㅠ.."
"298","세자매","10","꼭보세요 영화 감동적이에요연기 전개 부터 완벽합니다저만 볼수는 없잖아요꼭보세요!!!! 감동 재미 그리고 너무 재미있어서 말이안나옵니다 보세요!!!꼭 !!!나만 돈 버릴수는 없잖아요"
"299","그랜드파더","2","며칠지나지않았는데 전혀 기억안나는 마법"
"300","미나리","10",""
"301","미나리","10",""
"302","미나리","10",""
"303","미나리","10","최고의영화 극찬받을만함"
"304","극장판 귀멸의 칼날: 무한열차편","8","울리지 않아서 더 좋았어요."
"305","PMC: 더 벙커","6","이런류의 이야기는 이젠 한계가.."
"306","미나리","10","마지막 결투신만 볼테니까 3천원에 티켓 해줘요"
"307","극장판 귀멸의 칼날: 무한열차편","10","이시가미에게만 10점을"
"308","세자매","10","아미르캰의 영화는언제나 최고다"
"309","그랜드파더","9","저런 맹목적 사랑이 정말 있을까?어린시절엔 엄마가 전부인데 엄마를 잃은 아이에게 철없는 친구들의 괴롭힘. 그때 손잡아준 여자애는 구원자였고 희망이었고 행복이었겠죠. 각인된 오리처럼 무조건 따라간 감정이었으니까 그 사람을 잃고선 살 수 없었던게 아닐까.. 자신의 삶을 다 내어주고서라도  시간을 돌리고 싶었던.. 그 남자의 사랑에 가슴이 먹먹해져 옵니다"
